Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,subdomain,city,country,total_co2,Transport_share,Waste Bag Size_share,Waste Bag Weekly Count_share,lpg_kg,flights_hours,meat_meals,dining_out,shopping_spend,waste_kg,area,area_type_raw,Residential,Corporate,Industrial,Vehicular,Construction,Airport,season,area_total_emission,area_emissions_list
overweight,female,pescatarian,daily,natural gas,0.0,never,291,rarely,51,0.0,5,24,42,22,No,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']",1531,Student,Mumbai,India,5.0,0.0,0.0,1.0,37,2,52,6,1381,33,Chembur,"Industrial, Vehicular",812.34,495.25,1372.36,795.69,377.03,1745.85,Winter,5598.52,"1200,750"
normal,female,pescatarian,more frequently,natural gas,0.0,sometimes,260,rarely,1742,0.0,2,9,50,21,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",1631,Operations,Navi Mumbai,India,2.0,0.0,0.0,1.0,33,3,37,18,895,73,Vashi,"Corporate, Residential, Vehicular",841.09,513.27,953.28,607.73,304.2,0.0,Winter,3219.57,"500,700,600"
obese,male,vegetarian,less frequently,electricity,0.0,sometimes,118,frequently,1112,0.0,5,23,12,4,No,"['Paper', 'Plastic']",['Stove'],1860,Other,Navi Mumbai,India,5.0,0.0,0.0,1.0,16,4,54,9,581,111,Nerul,"Residential, Corporate, Construction",771.08,516.16,926.45,513.81,419.03,0.0,Monsoon,3146.53,"700,500,350"
underweight,female,vegetarian,daily,electricity,0.0,sometimes,81,never,6105,0.0,4,17,1,4,No,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",545,Operations,Navi Mumbai,India,4.0,0.0,0.0,1.0,36,2,9,8,1592,147,Airoli,"Residential, Corporate",708.13,596.52,830.88,488.59,324.4,0.0,Monsoon,2948.52,"700,500"
underweight,female,vegetarian,twice a day,natural gas,0.0,sometimes,285,frequently,465,0.0,6,15,46,5,Yes,['Metal'],"['Grill', 'Airfryer']",1854,Operations,Mumbai,India,6.0,0.0,0.0,1.0,24,4,14,17,425,108,Borivali,"Residential, Vehicular",951.45,629.71,973.21,853.59,365.66,1944.74,Monsoon,5718.36,"850,750"
normal,female,omnivore,daily,wood,0.0,often,251,never,98,0.0,1,12,47,3,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",1323,Finance,Navi Mumbai,India,1.0,0.0,0.0,1.0,37,1,49,16,1186,106,Airoli,"Residential, Corporate",770.12,514.86,882.51,480.69,289.41,0.0,Monsoon,2937.59,"700,500"
obese,female,omnivore,twice a day,wood,0.0,sometimes,72,frequently,3598,0.0,6,1,38,14,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2432,Other,Mumbai,India,6.0,0.0,0.0,1.0,11,0,52,12,1303,52,Mazgaon,"Vehicular, Residential",980.99,519.07,1242.19,779.02,405.01,1859.96,Monsoon,5786.24,"750,850"
overweight,female,pescatarian,more frequently,natural gas,0.0,never,235,rarely,845,0.0,6,12,4,22,No,['Plastic'],"['Stove', 'Oven']",1599,Finance,Mumbai,India,6.0,0.0,0.0,1.0,22,3,38,3,1951,108,Worli,"Vehicular, Construction",715.4,480.07,918.18,903.05,323.57,1868.06,Monsoon,5208.33,"750,400"
normal,male,vegan,less frequently,electricity,0.0,sometimes,292,frequently,1819,0.0,2,16,46,14,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",2000,Student,Navi Mumbai,India,2.0,0.0,0.0,1.0,21,6,54,6,330,101,Turbhe,"Industrial, Vehicular",605.83,373.64,1166.24,657.38,329.59,0.0,Monsoon,3132.68,"1000,600"
underweight,male,vegan,daily,electricity,0.0,never,131,frequently,2490,0.0,4,24,27,8,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",1710,Operations,Navi Mumbai,India,4.0,0.0,0.0,1.0,20,3,27,7,1981,62,Taloja,"Industrial, Construction",595.66,428.67,1045.52,545.28,441.2,0.0,Monsoon,3056.33,"1000,350"
obese,male,pescatarian,less frequently,natural gas,0.0,often,232,very frequently,6415,0.0,1,9,42,16,Yes,"['Plastic', 'Glass']",['Microwave'],5267,Sales,Mumbai,India,1.0,0.0,0.0,1.0,26,3,2,15,1287,107,Andheri (Airport area),"Vehicular, Corporate, Airport",791.35,702.64,1121.91,819.24,350.13,2374.86,Monsoon,6160.13,"750,650,2000"
underweight,male,omnivore,more frequently,wood,0.0,never,186,rarely,58,0.0,3,17,25,20,Sometimes,['Glass'],"['Stove', 'Oven', 'Microwave']",1781,Other,Navi Mumbai,India,3.0,0.0,0.0,1.0,30,3,55,11,1483,59,CBD Belapur,"Corporate, Vehicular",618.53,611.38,782.22,681.83,287.92,0.0,Summer,2981.88,"500,600"
obese,female,omnivore,twice a day,coal,0.0,sometimes,275,frequently,205,0.0,5,10,19,23,Sometimes,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2998,Student,Navi Mumbai,India,5.0,0.0,0.0,1.0,5,4,15,0,1333,104,Turbhe,"Industrial, Vehicular",647.21,420.76,973.88,640.9,280.75,0.0,Monsoon,2963.5,"1000,600"
obese,male,vegetarian,less frequently,coal,0.0,often,142,very frequently,40,0.0,2,23,29,1,No,"['Paper', 'Glass']","['Oven', 'Microwave']",3236,Sales,Navi Mumbai,India,2.0,0.0,0.0,1.0,26,2,44,5,1569,138,Kharghar,"Residential, Construction",695.28,365.95,814.83,582.16,357.95,0.0,Winter,2816.17,"700,350"
underweight,male,vegan,less frequently,wood,0.0,never,288,frequently,95,0.0,4,20,8,7,Yes,"['Paper', 'Plastic']","['Stove', 'Microwave']",1419,Operations,Mumbai,India,4.0,0.0,0.0,1.0,39,1,16,0,654,81,Bandra Kurla Complex,Corporate,797.64,641.34,1227.09,684.22,386.05,1733.46,Winter,5469.8,650
underweight,male,pescatarian,twice a day,electricity,0.0,never,177,very frequently,1231,0.0,4,6,24,7,Yes,['Metal'],"['Stove', 'Oven']",2393,Other,Navi Mumbai,India,4.0,0.0,0.0,1.0,33,5,35,7,522,54,Taloja,"Industrial, Construction",563.73,392.67,1001.65,519.18,385.05,0.0,Summer,2862.28,"1000,350"
obese,male,vegan,more frequently,natural gas,0.0,never,72,rarely,410,0.0,3,2,34,12,No,[],"['Stove', 'Oven']",1791,Engineering,Mumbai,India,3.0,0.0,0.0,1.0,11,3,18,11,1256,30,Mazgaon,"Vehicular, Residential",988.86,496.21,1186.9,765.67,344.34,1736.75,Post-Monsoon,5518.73,"750,850"
normal,female,vegetarian,twice a day,coal,0.0,sometimes,132,frequently,636,0.0,4,12,14,17,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1802,Sales,Mumbai,India,4.0,0.0,0.0,1.0,6,3,3,15,829,149,Worli,"Vehicular, Construction",727.57,594.69,1202.33,810.07,390.18,1857.78,Summer,5582.62,"750,400"
overweight,female,vegetarian,more frequently,electricity,0.0,never,53,rarely,30,0.0,6,16,25,5,No,"['Paper', 'Metal']","['Grill', 'Airfryer']",1440,Engineering,Mumbai,India,6.0,0.0,0.0,1.0,9,0,58,0,302,98,Borivali,"Residential, Vehicular",882.26,667.73,1043.87,843.38,325.92,1511.11,Summer,5274.27,"850,750"
overweight,male,pescatarian,daily,electricity,0.0,sometimes,280,frequently,1855,0.0,1,1,4,13,Yes,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1577,Finance,Navi Mumbai,India,1.0,0.0,0.0,1.0,16,0,24,3,789,98,Taloja,"Industrial, Construction",629.05,358.86,1101.96,532.13,436.87,0.0,Monsoon,3058.87,"1000,350"
normal,male,vegan,more frequently,wood,0.0,sometimes,136,very frequently,1187,0.0,6,20,18,9,Sometimes,"['Plastic', 'Glass']",['Oven'],2358,Student,Mumbai,India,6.0,0.0,0.0,1.0,25,2,26,18,883,135,Chembur,"Industrial, Vehicular",730.62,515.71,1125.93,787.46,374.83,1850.32,Monsoon,5384.87,"1200,750"
underweight,female,vegetarian,more frequently,electricity,0.0,never,297,very frequently,46,0.0,4,22,23,24,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",1862,Operations,Navi Mumbai,India,4.0,0.0,0.0,1.0,20,2,11,17,1590,65,Taloja,"Industrial, Construction",583.4,454.77,1162.69,550.35,390.44,0.0,Monsoon,3141.65,"1000,350"
obese,male,omnivore,twice a day,electricity,0.0,sometimes,120,very frequently,39,0.0,2,14,20,17,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",2556,Finance,Mumbai,India,2.0,0.0,0.0,1.0,27,2,55,7,1687,40,Goregaon,"Residential, Construction",984.78,543.02,1019.38,578.01,400.63,1722.53,Summer,5248.35,"850,400"
underweight,female,vegetarian,daily,natural gas,0.0,sometimes,109,rarely,8,0.0,1,12,17,7,No,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1107,Engineering,Navi Mumbai,India,1.0,0.0,0.0,1.0,1,0,26,5,552,90,Nerul,"Residential, Corporate, Construction",744.79,512.14,899.01,503.4,438.1,0.0,Post-Monsoon,3097.44,"700,500,350"
overweight,male,vegan,daily,electricity,0.0,never,145,frequently,1724,0.0,7,4,9,4,No,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1897,Finance,Navi Mumbai,India,7.0,0.0,0.0,1.0,0,0,3,12,1706,36,Nerul,"Residential, Corporate, Construction",767.33,630.54,851.48,520.48,324.11,0.0,Monsoon,3093.94,"700,500,350"
normal,male,vegan,less frequently,wood,0.0,sometimes,57,very frequently,9787,0.0,4,21,45,22,No,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",5773,Finance,Mumbai,India,4.0,0.0,0.0,1.0,35,2,23,19,1126,85,Andheri (Airport area),"Vehicular, Corporate, Airport",737.28,675.6,934.47,799.64,394.64,2440.81,Summer,5982.44,"750,650,2000"
overweight,male,pescatarian,less frequently,wood,0.0,never,72,very frequently,98,0.0,2,0,23,19,Yes,"['Paper', 'Glass']","['Oven', 'Microwave']",2537,Operations,Navi Mumbai,India,2.0,0.0,0.0,1.0,25,0,16,2,1212,45,CBD Belapur,"Corporate, Vehicular",536.04,542.72,893.74,680.71,264.54,0.0,Winter,2917.75,"500,600"
normal,female,vegetarian,less frequently,wood,0.0,sometimes,227,frequently,373,0.0,1,19,11,7,Yes,['Glass'],"['Oven', 'Grill', 'Airfryer']",1350,Finance,Navi Mumbai,India,1.0,0.0,0.0,1.0,28,0,59,14,1174,128,Kharghar,"Residential, Construction",766.3,371.19,835.6,543.31,349.48,0.0,Winter,2865.88,"700,350"
obese,male,omnivore,twice a day,coal,0.0,sometimes,214,never,514,0.0,2,0,24,15,Sometimes,['Plastic'],['Stove'],1932,Finance,Mumbai,India,2.0,0.0,0.0,1.0,20,5,55,5,1576,59,Goregaon,"Residential, Construction",915.75,669.98,907.03,636.75,426.14,1731.6,Winter,5287.25,"850,400"
normal,male,omnivore,more frequently,coal,0.0,sometimes,284,very frequently,6645,0.0,6,19,33,2,Sometimes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",6160,Operations,Mumbai,India,6.0,0.0,0.0,1.0,10,1,25,5,771,35,Worli,"Vehicular, Construction",779.58,614.94,1081.2,815.76,480.02,2012.05,Monsoon,5783.55,"750,400"
obese,female,vegan,daily,electricity,0.0,never,242,frequently,24,0.0,4,11,6,12,No,"['Paper', 'Metal']","['Stove', 'Oven']",1246,Engineering,Mumbai,India,4.0,0.0,0.0,1.0,39,2,17,4,1120,54,Chembur,"Industrial, Vehicular",759.63,594.91,1335.53,826.62,365.81,1720.15,Post-Monsoon,5602.65,"1200,750"
underweight,female,pescatarian,more frequently,natural gas,0.0,often,149,rarely,7233,0.0,6,14,40,9,Yes,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",3764,Finance,Mumbai,India,6.0,0.0,0.0,1.0,10,1,21,18,579,83,Sion,"Vehicular, Construction",744.99,614.66,1059.28,776.76,363.53,1580.03,Monsoon,5139.25,"750,400"
normal,male,pescatarian,twice a day,electricity,0.0,never,113,frequently,30,0.0,7,18,43,19,Yes,"['Paper', 'Metal']",[],2167,Operations,Navi Mumbai,India,7.0,0.0,0.0,1.0,35,0,5,9,1256,140,Nerul,"Residential, Corporate, Construction",808.9,538.83,911.64,529.97,411.46,0.0,Winter,3200.8,"700,500,350"
overweight,male,pescatarian,daily,wood,0.0,sometimes,131,rarely,87,0.0,7,16,22,4,No,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2240,Student,Mumbai,India,7.0,0.0,0.0,1.0,38,0,18,8,1370,49,Mazgaon,"Vehicular, Residential",899.48,554.3,1075.89,782.48,301.06,1627.42,Monsoon,5240.63,"750,850"
obese,female,pescatarian,more frequently,electricity,0.0,often,61,rarely,5259,0.0,7,15,43,17,Sometimes,['Glass'],"['Grill', 'Airfryer']",3300,Finance,Navi Mumbai,India,7.0,0.0,0.0,1.0,39,0,36,13,985,99,Airoli,"Residential, Corporate",730.89,567.02,903.87,514.71,339.25,0.0,Post-Monsoon,3055.74,"700,500"
underweight,male,omnivore,more frequently,wood,0.0,often,206,never,853,0.0,1,11,0,10,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",1178,Operations,Mumbai,India,1.0,0.0,0.0,1.0,34,0,33,4,1806,119,Chembur,"Industrial, Vehicular",816.69,620.89,1264.66,760.0,400.88,2053.22,Summer,5916.34,"1200,750"
obese,female,omnivore,more frequently,natural gas,0.0,sometimes,159,rarely,4669,0.0,7,11,50,4,Sometimes,['Metal'],"['Stove', 'Oven']",3469,Sales,Navi Mumbai,India,7.0,0.0,0.0,1.0,33,2,10,6,1846,21,Vashi,"Corporate, Residential, Vehicular",858.29,585.91,925.55,661.54,252.66,0.0,Monsoon,3283.95,"500,700,600"
overweight,female,pescatarian,twice a day,coal,0.0,sometimes,249,frequently,746,0.0,3,23,26,3,No,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2322,Finance,Navi Mumbai,India,3.0,0.0,0.0,1.0,23,4,55,16,495,35,Koparkhairane,"Residential, Industrial",742.6,451.12,1174.88,612.41,311.09,0.0,Summer,3292.1,"700,1000"
obese,female,vegetarian,twice a day,natural gas,0.0,often,163,rarely,6296,0.0,7,14,4,22,Sometimes,[],"['Stove', 'Oven']",3927,Operations,Navi Mumbai,India,7.0,0.0,0.0,1.0,21,0,23,16,258,26,Airoli,"Residential, Corporate",804.04,488.09,915.5,496.49,271.08,0.0,Winter,2975.2,"700,500"
normal,male,vegetarian,less frequently,electricity,0.0,sometimes,271,never,1552,0.0,6,15,16,1,Yes,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",866,Student,Mumbai,India,6.0,0.0,0.0,1.0,4,1,44,8,564,42,Malad West,"Residential, Construction",893.77,565.97,890.88,747.59,464.37,1889.43,Monsoon,5452.01,"850,400"
obese,male,pescatarian,less frequently,wood,0.0,never,285,very frequently,2114,0.0,6,18,19,5,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",4495,Finance,Mumbai,India,6.0,0.0,0.0,1.0,32,3,36,6,1273,20,Worli,"Vehicular, Construction",691.82,522.39,1006.27,813.93,364.13,1733.84,Winter,5132.38,"750,400"
underweight,male,pescatarian,twice a day,coal,0.0,sometimes,98,never,346,0.0,2,9,27,14,Yes,[],"['Stove', 'Microwave']",1532,Other,Mumbai,India,2.0,0.0,0.0,1.0,35,1,22,0,670,135,Worli,"Vehicular, Construction",648.49,454.86,1017.24,898.08,460.89,2024.76,Summer,5504.32,"750,400"
obese,male,vegetarian,daily,electricity,0.0,never,149,frequently,4783,0.0,7,7,23,0,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3344,Engineering,Navi Mumbai,India,7.0,0.0,0.0,1.0,19,2,39,1,1113,88,CBD Belapur,"Corporate, Vehicular",662.71,599.88,766.04,625.22,257.4,0.0,Summer,2911.25,"500,600"
overweight,male,pescatarian,daily,coal,0.0,sometimes,235,rarely,44,0.0,4,5,7,21,Sometimes,"['Plastic', 'Metal']","['Stove', 'Microwave']",1718,Student,Mumbai,India,4.0,0.0,0.0,1.0,18,1,42,9,1431,71,Borivali,"Residential, Vehicular",942.87,523.24,989.76,862.19,267.32,1639.21,Winter,5224.59,"850,750"
obese,female,omnivore,less frequently,electricity,0.0,never,243,rarely,8133,0.0,4,24,21,23,No,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",4372,Sales,Navi Mumbai,India,4.0,0.0,0.0,1.0,34,4,3,18,658,115,Taloja,"Industrial, Construction",704.25,418.15,1203.04,495.54,343.7,0.0,Monsoon,3164.68,"1000,350"
normal,male,vegetarian,less frequently,natural gas,0.0,never,138,never,25,0.0,4,8,45,4,No,"['Paper', 'Plastic']","['Oven', 'Microwave']",1342,Operations,Navi Mumbai,India,4.0,0.0,0.0,1.0,16,3,17,7,1621,74,Turbhe,"Industrial, Vehicular",621.8,430.84,1148.48,722.17,320.48,0.0,Winter,3243.77,"1000,600"
normal,female,omnivore,daily,electricity,0.0,never,58,very frequently,54,0.0,7,5,40,23,Yes,"['Plastic', 'Glass', 'Metal']",['Microwave'],2544,Operations,Mumbai,India,7.0,0.0,0.0,1.0,33,1,29,8,1996,48,Worli,"Vehicular, Construction",739.59,496.01,1025.57,780.29,407.9,1604.75,Monsoon,5054.11,"750,400"
underweight,female,pescatarian,less frequently,wood,0.0,often,187,very frequently,24,0.0,3,18,1,14,Yes,"['Plastic', 'Glass']",['Microwave'],2053,Engineering,Mumbai,India,3.0,0.0,0.0,1.0,8,2,14,14,1081,149,Worli,"Vehicular, Construction",716.73,475.59,1078.48,843.74,369.66,1925.85,Monsoon,5410.05,"750,400"
normal,male,pescatarian,more frequently,coal,0.0,never,198,never,2767,0.0,1,15,33,17,Yes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",2453,Finance,Mumbai,India,1.0,0.0,0.0,1.0,25,1,36,10,1120,46,Malad West,"Residential, Construction",898.53,576.04,1184.11,632.84,521.93,1785.83,Monsoon,5599.28,"850,400"
obese,female,pescatarian,twice a day,natural gas,0.0,never,174,very frequently,80,0.0,2,21,43,6,Yes,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']",2901,Other,Navi Mumbai,India,2.0,0.0,0.0,1.0,1,4,22,11,1428,69,Kharghar,"Residential, Construction",825.99,431.86,932.32,489.97,360.15,0.0,Winter,3040.29,"700,350"
normal,male,pescatarian,twice a day,coal,0.0,sometimes,215,very frequently,5566,0.0,4,17,44,24,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",4633,Student,Mumbai,India,4.0,0.0,0.0,1.0,8,0,11,17,1435,61,Worli,"Vehicular, Construction",725.2,582.59,988.77,863.68,485.08,1795.56,Winter,5440.88,"750,400"
overweight,female,omnivore,twice a day,electricity,0.0,sometimes,226,never,38,0.0,6,3,29,20,No,['Paper'],['Oven'],1779,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,8,5,3,1,642,28,Airoli,"Residential, Corporate",755.21,507.58,852.21,532.14,268.23,0.0,Monsoon,2915.37,"700,500"
obese,female,vegan,daily,coal,0.0,sometimes,162,rarely,1271,0.0,1,13,22,6,Yes,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1349,Other,Mumbai,India,1.0,0.0,0.0,1.0,39,2,3,14,346,22,Malad West,"Residential, Construction",924.66,556.31,1013.18,586.29,468.41,1495.26,Winter,5044.11,"850,400"
underweight,male,pescatarian,twice a day,electricity,0.0,often,85,never,24,0.0,4,0,7,16,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1067,Operations,Navi Mumbai,India,4.0,0.0,0.0,1.0,16,3,51,9,798,105,Kharghar,"Residential, Construction",769.32,442.73,990.68,479.83,353.19,0.0,Winter,3035.75,"700,350"
obese,female,pescatarian,daily,electricity,0.0,sometimes,125,never,1813,0.0,7,17,17,8,Yes,"['Paper', 'Metal']",[],1260,Sales,Mumbai,India,7.0,0.0,0.0,1.0,0,3,40,6,1358,57,Malad West,"Residential, Construction",949.83,509.36,1144.99,647.5,488.6,1824.66,Summer,5564.94,"850,400"
overweight,male,pescatarian,more frequently,coal,0.0,never,175,very frequently,81,0.0,2,9,8,3,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2278,Student,Mumbai,India,2.0,0.0,0.0,1.0,24,1,40,8,1961,89,Worli,"Vehicular, Construction",705.59,515.59,1098.89,814.9,360.52,1712.64,Summer,5208.13,"750,400"
underweight,female,pescatarian,twice a day,wood,0.0,often,262,never,9885,0.0,3,2,37,7,Yes,"['Paper', 'Glass']","['Stove', 'Oven']",3561,Sales,Mumbai,India,3.0,0.0,0.0,1.0,39,2,13,16,1455,88,Goregaon,"Residential, Construction",925.91,533.47,1117.74,656.84,383.0,1779.28,Summer,5396.24,"850,400"
obese,female,vegan,less frequently,natural gas,0.0,sometimes,168,never,63,0.0,6,8,47,1,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1827,Sales,Navi Mumbai,India,6.0,0.0,0.0,1.0,24,0,58,13,1294,33,Turbhe,"Industrial, Vehicular",659.94,421.61,1009.55,666.38,331.53,0.0,Winter,3089.01,"1000,600"
obese,male,pescatarian,twice a day,coal,0.0,often,284,never,9523,0.0,2,11,35,3,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",4822,Engineering,Mumbai,India,2.0,0.0,0.0,1.0,38,1,57,8,1598,21,Mazgaon,"Vehicular, Residential",941.11,553.04,1061.21,894.72,324.84,1755.42,Monsoon,5530.34,"750,850"
normal,male,pescatarian,daily,wood,0.0,never,222,never,1771,0.0,3,5,8,12,Yes,['Glass'],['Oven'],1608,Engineering,Mumbai,India,3.0,0.0,0.0,1.0,34,0,55,6,692,116,Goregaon,"Residential, Construction",864.61,524.09,1136.14,610.84,370.08,1729.99,Winter,5235.75,"850,400"
normal,female,vegetarian,twice a day,natural gas,0.0,never,80,rarely,7134,0.0,2,5,8,5,Yes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave']",2424,Engineering,Navi Mumbai,India,2.0,0.0,0.0,1.0,2,4,58,14,941,120,CBD Belapur,"Corporate, Vehicular",614.37,579.39,971.25,573.55,338.54,0.0,Monsoon,3077.1,"500,600"
normal,female,vegan,daily,wood,0.0,never,185,very frequently,9,0.0,6,18,29,23,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2647,Sales,Navi Mumbai,India,6.0,0.0,0.0,1.0,36,4,7,2,1488,93,Airoli,"Residential, Corporate",809.46,520.58,909.57,469.23,374.46,0.0,Winter,3083.3,"700,500"
obese,male,vegetarian,more frequently,coal,0.0,often,66,never,43,0.0,5,0,7,2,Sometimes,['Paper'],[],1274,Other,Mumbai,India,5.0,0.0,0.0,1.0,29,3,22,1,1128,145,Malad West,"Residential, Construction",969.45,599.21,1100.83,615.83,466.38,1947.63,Summer,5699.33,"850,400"
overweight,male,vegetarian,less frequently,wood,0.0,never,115,very frequently,81,0.0,7,4,35,0,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3512,Finance,Mumbai,India,7.0,0.0,0.0,1.0,37,1,0,2,615,102,Andheri (Airport area),"Vehicular, Corporate, Airport",776.36,751.02,954.91,818.07,385.66,2221.84,Summer,5907.86,"750,650,2000"
overweight,female,vegan,less frequently,coal,0.0,often,234,rarely,330,0.0,1,21,16,6,No,['Plastic'],"['Grill', 'Airfryer']",1456,Sales,Navi Mumbai,India,1.0,0.0,0.0,1.0,33,4,55,1,586,118,Taloja,"Industrial, Construction",608.5,417.3,1055.73,506.56,345.64,0.0,Summer,2933.73,"1000,350"
obese,male,vegan,daily,wood,0.0,never,266,rarely,95,0.0,6,4,48,18,No,['Paper'],['Oven'],2259,Other,Navi Mumbai,India,6.0,0.0,0.0,1.0,11,1,10,12,754,37,Airoli,"Residential, Corporate",742.36,613.94,925.06,528.2,294.02,0.0,Winter,3103.58,"700,500"
normal,female,vegetarian,less frequently,coal,0.0,never,74,very frequently,120,0.0,4,9,17,12,No,"['Plastic', 'Glass']",['Microwave'],2402,Sales,Navi Mumbai,India,4.0,0.0,0.0,1.0,18,5,26,12,997,65,Airoli,"Residential, Corporate",718.52,569.81,1003.12,486.8,326.52,0.0,Summer,3104.77,"700,500"
underweight,male,vegetarian,less frequently,natural gas,0.0,often,235,frequently,421,0.0,7,13,0,23,Yes,['Paper'],"['Grill', 'Airfryer']",1869,Sales,Navi Mumbai,India,7.0,0.0,0.0,1.0,36,0,3,1,1556,59,Nerul,"Residential, Corporate, Construction",818.64,514.39,887.12,524.49,323.69,0.0,Monsoon,3068.33,"700,500,350"
overweight,male,pescatarian,twice a day,electricity,0.0,never,256,rarely,1947,0.0,3,23,33,8,Sometimes,[],['Stove'],1984,Sales,Mumbai,India,3.0,0.0,0.0,1.0,16,3,28,19,411,107,Sion,"Vehicular, Construction",738.81,524.77,963.63,804.4,464.16,1606.16,Summer,5101.93,"750,400"
underweight,male,vegetarian,daily,electricity,0.0,never,64,never,10,0.0,5,9,40,1,Sometimes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1280,Engineering,Navi Mumbai,India,5.0,0.0,0.0,1.0,9,0,16,18,1624,86,Airoli,"Residential, Corporate",791.99,493.7,800.24,571.0,305.15,0.0,Monsoon,2962.08,"700,500"
overweight,female,pescatarian,less frequently,wood,0.0,often,267,very frequently,520,0.0,3,8,40,6,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",2703,Operations,Mumbai,India,3.0,0.0,0.0,1.0,11,4,48,8,1771,44,Mazgaon,"Vehicular, Residential",956.73,634.66,1086.31,869.65,374.01,2101.06,Winter,6022.42,"750,850"
underweight,female,pescatarian,less frequently,electricity,0.0,often,193,rarely,872,0.0,7,5,2,11,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1044,Other,Mumbai,India,7.0,0.0,0.0,1.0,15,1,18,4,1907,131,Mazgaon,"Vehicular, Residential",865.46,626.65,1017.06,797.84,272.93,1647.68,Monsoon,5227.62,"750,850"
obese,female,vegan,less frequently,coal,0.0,sometimes,113,rarely,396,0.0,2,16,45,19,Yes,['Glass'],['Stove'],2010,Finance,Mumbai,India,2.0,0.0,0.0,1.0,23,2,44,6,1378,64,Malad West,"Residential, Construction",880.76,553.61,989.6,614.72,342.93,1610.33,Summer,4991.95,"850,400"
normal,female,vegan,twice a day,electricity,0.0,sometimes,64,very frequently,4,0.0,5,9,6,2,Yes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1792,Sales,Navi Mumbai,India,5.0,0.0,0.0,1.0,18,2,50,12,823,21,Nerul,"Residential, Corporate, Construction",715.05,490.1,908.52,484.28,354.87,0.0,Winter,2952.82,"700,500,350"
underweight,female,pescatarian,less frequently,wood,0.0,often,247,rarely,1114,0.0,5,0,48,9,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1581,Operations,Mumbai,India,5.0,0.0,0.0,1.0,7,2,57,0,1403,129,Borivali,"Residential, Vehicular",864.69,608.63,988.34,889.57,342.93,1776.93,Summer,5471.09,"850,750"
