Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,subdomain,city,country,total_co2,lpg_kg,flights_hours,meat_meals,dining_out,shopping_spend,waste_kg,area,area_type_raw,Residential,Corporate,Industrial,Vehicular,Construction,Airport,season,area_total_emission,area_emissions_list
overweight,male,vegan,twice a day,electricity,never,121,rarely,194,6,15,16,18,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1492,Finance,Mumbai,India,255.0,15,1,55,9,1426,62,Chembur,"Industrial, Vehicular",30.6,25.5,114.75,63.75,15.3,5.1,Monsoon,255.0,"1200,750"
obese,female,vegetarian,twice a day,electricity,sometimes,81,never,4,2,12,34,19,Sometimes,['Paper'],['Stove'],1165,Finance,Mumbai,India,240.0,35,0,54,19,849,66,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Monsoon,240.00000000000003,650
overweight,female,vegan,daily,natural gas,sometimes,131,frequently,8754,6,22,3,17,No,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3959,Engineering,Navi Mumbai,India,235.0,32,2,58,2,1334,38,Vashi,"Corporate, Residential, Vehicular",70.5,35.25,23.5,82.25,18.8,4.7,Summer,235.0,"500,700,600"
underweight,male,pescatarian,twice a day,wood,often,176,never,20,2,22,35,19,No,['Metal'],"['Oven', 'Grill', 'Airfryer']",1734,Other,Navi Mumbai,India,285.0,3,2,34,4,1462,136,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Monsoon,285.0,"1000,350"
obese,male,vegan,daily,electricity,never,228,frequently,1571,5,21,42,15,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",2428,Sales,Mumbai,India,240.0,32,2,23,1,1752,75,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Monsoon,240.0,"750,400"
normal,female,pescatarian,daily,natural gas,often,174,frequently,7427,4,8,48,22,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2369,Student,Mumbai,India,210.0,13,0,51,5,109,111,Borivali,"Residential, Vehicular",73.5,16.8,6.3,94.5,14.7,4.2,Winter,210.0,"850,750"
overweight,female,omnivore,more frequently,electricity,often,115,never,0,5,22,26,23,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",1365,Operations,Mumbai,India,255.0,20,2,50,15,996,98,Chembur,"Industrial, Vehicular",30.6,25.5,114.75,63.75,15.3,5.1,Monsoon,255.0,"1200,750"
underweight,male,pescatarian,daily,electricity,often,92,never,1857,3,15,9,15,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1134,Other,Navi Mumbai,India,205.0,19,2,1,11,1052,131,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Summer,205.0,"500,600"
underweight,female,vegan,daily,electricity,often,228,frequently,78,5,18,4,4,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Microwave'],1316,Finance,Mumbai,India,235.0,7,2,56,16,1623,69,Mazgaon,"Vehicular, Residential",42.3,35.25,47.0,82.25,23.5,4.7,Monsoon,235.0,"750,850"
obese,male,vegan,daily,wood,never,267,frequently,558,2,20,44,15,No,['Glass'],"['Grill', 'Airfryer']",2531,Other,Mumbai,India,240.0,6,0,45,11,170,29,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Summer,240.0,"750,400"
obese,female,omnivore,less frequently,electricity,often,134,very frequently,3079,2,2,32,3,Yes,"['Glass', 'Metal']",['Oven'],3202,Finance,Mumbai,India,240.0,2,1,59,16,1242,117,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Summer,240.00000000000003,650
normal,male,pescatarian,twice a day,natural gas,sometimes,224,frequently,9501,3,8,50,22,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",4087,Sales,Mumbai,India,210.0,16,3,54,6,1754,35,Borivali,"Residential, Vehicular",73.5,16.8,6.3,94.5,14.7,4.2,Winter,210.0,"850,750"
overweight,female,pescatarian,more frequently,electricity,sometimes,52,frequently,1,6,17,44,15,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave']",2479,Student,Navi Mumbai,India,230.0,32,1,52,15,1006,56,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Monsoon,230.0,"700,500,350"
underweight,female,vegan,twice a day,natural gas,never,217,very frequently,7014,7,22,28,18,Yes,"['Paper', 'Plastic', 'Metal']",[],3950,Operations,Navi Mumbai,India,285.0,11,0,24,17,1560,119,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Winter,285.0,"1000,350"
obese,male,vegetarian,twice a day,natural gas,sometimes,218,rarely,1265,1,24,19,3,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",1626,Other,Navi Mumbai,India,265.0,21,2,18,7,226,41,Turbhe,"Industrial, Vehicular",21.2,13.25,145.75,66.25,13.25,5.3,Winter,265.0,"1000,600"
overweight,male,pescatarian,less frequently,wood,often,257,rarely,8406,4,4,5,6,Sometimes,['Glass'],"['Grill', 'Airfryer']",4761,Sales,Navi Mumbai,India,205.0,21,2,44,17,359,141,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Winter,205.0,"500,600"
overweight,female,vegan,less frequently,wood,often,270,very frequently,8530,2,16,2,4,Yes,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1948,Operations,Mumbai,India,225.0,29,1,12,1,327,51,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Winter,225.0,"750,400"
normal,male,omnivore,less frequently,coal,never,197,very frequently,5707,7,13,33,7,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",5075,Sales,Mumbai,India,7.0,37,2,28,8,544,100,Andheri (Airport area),"Vehicular, Corporate, Airport",782.04,769.54,1206.4,829.61,389.65,2377.33,Monsoon,6354.57,"750,650,2000"
normal,female,pescatarian,more frequently,wood,never,160,rarely,29,1,1,28,5,Yes,['Metal'],"['Oven', 'Microwave']",1123,Finance,Navi Mumbai,India,235.0,37,1,31,15,1721,92,Vashi,"Corporate, Residential, Vehicular",70.5,35.25,23.5,82.25,18.8,4.7,Monsoon,235.0,"500,700,600"
normal,male,vegan,more frequently,electricity,often,51,frequently,25,5,22,14,24,Yes,[],['Oven'],1721,Sales,Mumbai,India,225.0,7,2,5,16,877,52,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Summer,225.0,"850,400"
underweight,female,vegetarian,daily,wood,sometimes,59,never,4240,6,17,5,14,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1050,Finance,Mumbai,India,6.0,26,0,55,9,1338,139,Andheri (Airport area),"Vehicular, Corporate, Airport",843.98,686.1,1035.53,754.72,383.99,2358.47,Monsoon,6062.79,"750,650,2000"
overweight,male,vegan,daily,wood,often,94,rarely,2,7,11,3,2,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",1418,Finance,Navi Mumbai,India,285.0,26,2,8,0,1512,116,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Summer,285.0,"1000,350"
normal,female,omnivore,more frequently,natural gas,sometimes,225,never,5539,2,22,3,2,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1923,Other,Navi Mumbai,India,240.0,33,2,51,17,339,149,Kharghar,"Residential, Construction",72.0,36.0,28.8,84.0,14.4,4.8,Winter,240.00000000000003,"700,350"
normal,male,vegetarian,daily,coal,never,278,rarely,34,3,20,0,16,Yes,['Metal'],"['Stove', 'Oven']",1344,Finance,Navi Mumbai,India,285.0,20,2,0,14,479,33,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Winter,285.0,"1000,350"
obese,male,pescatarian,twice a day,electricity,often,146,rarely,736,3,20,49,21,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2125,Student,Navi Mumbai,India,230.0,29,2,23,8,431,120,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Summer,230.0,"700,500,350"
obese,male,omnivore,more frequently,coal,often,50,never,7386,1,19,35,2,Yes,['Metal'],"['Grill', 'Airfryer']",5360,Engineering,Mumbai,India,225.0,32,2,9,2,1884,80,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Monsoon,225.0,"850,400"
overweight,female,pescatarian,less frequently,electricity,often,181,frequently,6879,2,16,5,10,Yes,"['Paper', 'Plastic', 'Metal']",['Microwave'],2805,Student,Navi Mumbai,India,235.0,27,2,34,15,1025,84,Vashi,"Corporate, Residential, Vehicular",70.5,35.25,23.5,82.25,18.8,4.7,Summer,235.0,"500,700,600"
normal,female,vegan,twice a day,natural gas,sometimes,222,rarely,2653,1,5,33,13,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",1025,Sales,Mumbai,India,210.0,32,1,5,14,1692,105,Borivali,"Residential, Vehicular",73.5,16.8,6.3,94.5,14.7,4.2,Summer,210.0,"850,750"
overweight,male,pescatarian,twice a day,natural gas,sometimes,125,very frequently,24,1,15,37,17,Yes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2955,Sales,Mumbai,India,230.0,4,3,47,1,516,49,Goregaon,"Residential, Construction",57.5,46.0,18.4,92.0,11.5,4.6,Monsoon,230.0,"850,400"
underweight,female,vegan,less frequently,coal,never,275,rarely,892,6,13,18,23,Yes,['Glass'],['Microwave'],1598,Student,Mumbai,India,240.0,18,3,19,9,264,46,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Monsoon,240.00000000000003,650
obese,male,omnivore,less frequently,electricity,never,287,frequently,2,6,14,27,23,No,['Paper'],"['Stove', 'Microwave']",2541,Operations,Mumbai,India,225.0,3,1,37,3,949,83,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Summer,225.0,"850,400"
overweight,female,pescatarian,twice a day,coal,never,264,frequently,1559,2,7,38,18,Yes,"['Plastic', 'Metal']",[],1951,Other,Navi Mumbai,India,285.0,34,0,11,18,1319,52,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Monsoon,285.0,"1000,350"
overweight,female,vegan,less frequently,coal,never,268,never,78,4,11,32,24,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1525,Engineering,Mumbai,India,255.0,16,0,2,16,338,72,Chembur,"Industrial, Vehicular",30.6,25.5,114.75,63.75,15.3,5.1,Monsoon,255.0,"1200,750"
normal,male,pescatarian,twice a day,electricity,often,203,frequently,48,4,9,0,24,No,"['Plastic', 'Glass', 'Metal']",['Oven'],1426,Sales,Mumbai,India,240.0,27,1,54,9,378,99,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Summer,240.0,"750,400"
underweight,male,vegan,more frequently,wood,never,176,never,1945,7,5,4,21,Sometimes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1068,Sales,Navi Mumbai,India,205.0,29,2,17,5,169,149,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Monsoon,205.0,"500,600"
obese,male,vegan,more frequently,wood,sometimes,207,very frequently,1088,7,2,42,10,Yes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3859,Finance,Navi Mumbai,India,225.0,28,2,20,0,1898,113,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Monsoon,225.0,"700,500"
underweight,female,vegetarian,less frequently,natural gas,never,279,rarely,54,2,9,1,4,No,[],"['Stove', 'Microwave']",1061,Other,Navi Mumbai,India,265.0,5,4,34,10,118,129,Turbhe,"Industrial, Vehicular",21.2,13.25,145.75,66.25,13.25,5.3,Monsoon,265.0,"1000,600"
underweight,male,vegan,more frequently,natural gas,often,203,frequently,8507,2,18,45,16,No,"['Paper', 'Metal']","['Grill', 'Airfryer']",3335,Student,Mumbai,India,230.0,34,0,36,15,337,62,Goregaon,"Residential, Construction",57.5,46.0,18.4,92.0,11.5,4.6,Winter,230.0,"850,400"
obese,male,vegetarian,twice a day,coal,never,187,frequently,3682,5,21,47,2,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3900,Operations,Navi Mumbai,India,285.0,36,1,18,19,1010,134,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Winter,285.0,"1000,350"
normal,male,vegetarian,less frequently,electricity,sometimes,271,never,1552,6,15,16,1,Yes,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",866,Student,Mumbai,India,240.0,23,5,24,6,1496,118,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Monsoon,240.00000000000003,650
underweight,female,vegetarian,daily,electricity,never,281,rarely,1006,7,22,37,22,Yes,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",1984,Engineering,Navi Mumbai,India,225.0,28,4,55,2,1363,30,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Summer,225.0,"700,500"
underweight,male,vegetarian,daily,electricity,never,120,very frequently,6331,3,7,38,24,Sometimes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",4166,Other,Mumbai,India,240.0,30,0,17,13,1465,71,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Monsoon,240.00000000000003,650
obese,female,vegan,twice a day,coal,often,111,rarely,1117,4,10,8,8,Yes,[],"['Stove', 'Oven', 'Microwave']",1660,Finance,Navi Mumbai,India,230.0,34,2,39,3,1539,145,Koparkhairane,"Residential, Industrial",73.6,34.5,27.6,75.9,13.8,4.6,Summer,230.0,"700,1000"
normal,male,omnivore,daily,electricity,never,94,never,3657,3,11,33,24,No,"['Paper', 'Glass', 'Metal']",[],796,Engineering,Navi Mumbai,India,240.0,32,2,29,8,1458,141,Kharghar,"Residential, Construction",72.0,36.0,28.8,84.0,14.4,4.8,Summer,240.00000000000003,"700,350"
overweight,female,vegan,less frequently,wood,never,192,very frequently,45,7,20,2,1,Sometimes,['Paper'],"['Oven', 'Grill', 'Airfryer']",2127,Operations,Navi Mumbai,India,225.0,20,5,55,14,1438,51,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Summer,225.0,"700,500"
normal,female,omnivore,twice a day,coal,often,206,frequently,1896,7,4,36,9,No,[],['Microwave'],2694,Other,Navi Mumbai,India,245.0,31,0,41,11,169,99,Ghansoli,"Residential, Industrial",61.25,29.4,61.25,73.5,14.7,4.9,Monsoon,245.0,"700,1000"
obese,male,omnivore,twice a day,natural gas,never,213,rarely,5074,7,3,44,8,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",4622,Finance,Mumbai,India,235.0,22,0,50,15,297,48,Mazgaon,"Vehicular, Residential",42.3,35.25,47.0,82.25,23.5,4.7,Monsoon,235.0,"750,850"
overweight,male,vegetarian,less frequently,natural gas,sometimes,279,frequently,672,6,2,21,3,No,"['Glass', 'Metal']","['Stove', 'Microwave']",2196,Operations,Mumbai,India,225.0,32,2,41,18,1116,55,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Monsoon,225.0,"750,400"
overweight,male,pescatarian,twice a day,natural gas,never,275,rarely,67,5,16,29,24,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",2090,Engineering,Mumbai,India,240.0,2,1,52,13,1385,107,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Monsoon,240.00000000000003,650
obese,male,vegetarian,daily,coal,sometimes,72,frequently,74,3,2,19,5,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2091,Operations,Mumbai,India,235.0,17,3,33,3,943,131,Mazgaon,"Vehicular, Residential",42.3,35.25,47.0,82.25,23.5,4.7,Monsoon,235.0,"750,850"
obese,male,omnivore,less frequently,electricity,often,64,frequently,415,6,19,48,4,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2573,Student,Navi Mumbai,India,225.0,24,0,9,5,293,71,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Monsoon,225.0,"700,500"
obese,male,vegetarian,twice a day,natural gas,often,237,never,6580,2,16,3,17,No,['Metal'],[],1379,Other,Mumbai,India,240.0,30,3,21,10,1596,72,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Monsoon,240.0,"750,400"
overweight,male,vegan,twice a day,coal,never,140,rarely,5270,1,6,33,15,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",3307,Sales,Navi Mumbai,India,265.0,2,1,49,3,231,87,Turbhe,"Industrial, Vehicular",21.2,13.25,145.75,66.25,13.25,5.3,Monsoon,265.0,"1000,600"
normal,female,pescatarian,daily,coal,often,67,rarely,911,5,3,13,5,Sometimes,"['Paper', 'Metal']",[],1470,Operations,Navi Mumbai,India,205.0,39,3,3,7,474,102,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Winter,205.0,"500,600"
obese,male,pescatarian,more frequently,wood,sometimes,182,never,6445,4,6,17,4,No,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3095,Engineering,Navi Mumbai,India,285.0,23,0,2,8,1193,134,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Winter,285.0,"1000,350"
normal,male,omnivore,more frequently,natural gas,never,67,rarely,5230,3,5,6,0,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",914,Finance,Navi Mumbai,India,225.0,31,1,48,1,866,143,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Monsoon,225.0,"700,500"
overweight,male,vegan,less frequently,coal,never,92,rarely,2180,4,4,3,14,Yes,[],"['Oven', 'Microwave']",1781,Other,Mumbai,India,240.0,21,1,55,19,1820,145,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Summer,240.0,"750,400"
obese,male,pescatarian,twice a day,electricity,never,92,very frequently,9686,6,9,46,14,Yes,"['Glass', 'Metal']","['Oven', 'Microwave']",6738,Sales,Mumbai,India,225.0,22,1,55,2,845,131,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Monsoon,225.0,"850,400"
normal,female,vegetarian,less frequently,wood,often,186,very frequently,11,5,1,0,18,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1964,Sales,Navi Mumbai,India,240.0,1,1,48,5,1568,20,Kharghar,"Residential, Construction",72.0,36.0,28.8,84.0,14.4,4.8,Monsoon,240.00000000000003,"700,350"
obese,male,vegan,daily,wood,often,162,frequently,546,5,21,17,12,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave']",2936,Operations,Mumbai,India,225.0,26,3,27,1,470,118,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Winter,225.0,"750,400"
underweight,male,vegan,less frequently,natural gas,never,173,very frequently,1613,5,4,44,24,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",2672,Sales,Navi Mumbai,India,225.0,1,5,21,7,1563,21,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Summer,225.0,"700,500"
normal,female,vegan,daily,wood,sometimes,51,rarely,994,4,15,39,0,Yes,['Metal'],"['Stove', 'Microwave']",1509,Other,Navi Mumbai,India,230.0,25,3,11,19,1992,78,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Summer,230.0,"700,500,350"
overweight,male,vegan,more frequently,electricity,never,241,rarely,52,3,8,43,7,No,['Metal'],['Stove'],1811,Student,Navi Mumbai,India,225.0,16,2,48,7,329,25,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Winter,225.0,"700,500"
underweight,male,omnivore,less frequently,electricity,often,63,rarely,1828,7,7,31,20,Sometimes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",1881,Finance,Navi Mumbai,India,285.0,39,1,12,2,1265,123,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Summer,285.0,"1000,350"
overweight,male,vegetarian,daily,natural gas,never,208,very frequently,964,5,22,48,10,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3640,Engineering,Mumbai,India,230.0,32,1,40,16,1746,102,Goregaon,"Residential, Construction",57.5,46.0,18.4,92.0,11.5,4.6,Post-Monsoon,230.0,"850,400"
obese,female,vegetarian,twice a day,wood,never,225,very frequently,0,4,22,30,1,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2912,Operations,Mumbai,India,225.0,8,4,32,10,1206,67,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Winter,225.0,"850,400"
obese,female,omnivore,daily,coal,never,193,rarely,80,4,24,3,5,Sometimes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1869,Operations,Navi Mumbai,India,240.0,38,2,46,2,854,139,Kharghar,"Residential, Construction",72.0,36.0,28.8,84.0,14.4,4.8,Winter,240.00000000000003,"700,350"
obese,male,vegan,twice a day,wood,sometimes,102,frequently,7337,5,6,32,9,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",4845,Finance,Mumbai,India,235.0,28,3,18,11,1642,107,Mazgaon,"Vehicular, Residential",42.3,35.25,47.0,82.25,23.5,4.7,Monsoon,235.0,"750,850"
obese,male,omnivore,less frequently,natural gas,never,215,rarely,49,1,13,39,12,No,"['Paper', 'Plastic', 'Metal']",[],1797,Finance,Mumbai,India,210.0,25,1,40,13,1561,147,Borivali,"Residential, Vehicular",73.5,16.8,6.3,94.5,14.7,4.2,Monsoon,210.0,"850,750"
underweight,female,pescatarian,more frequently,electricity,often,85,frequently,98,7,19,23,7,No,['Plastic'],[],1915,Finance,Navi Mumbai,India,235.0,34,1,16,0,1589,92,Vashi,"Corporate, Residential, Vehicular",70.5,35.25,23.5,82.25,18.8,4.7,Post-Monsoon,235.0,"500,700,600"
obese,male,omnivore,daily,electricity,often,225,frequently,69,5,1,16,7,Sometimes,['Metal'],"['Stove', 'Oven']",2915,Other,Navi Mumbai,India,205.0,24,2,46,11,1053,51,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Monsoon,205.0,"500,600"
normal,male,omnivore,twice a day,natural gas,never,127,rarely,1863,7,13,12,0,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave']",1696,Student,Navi Mumbai,India,245.0,23,1,33,17,1696,123,Ghansoli,"Residential, Industrial",61.25,29.4,61.25,73.5,14.7,4.9,Monsoon,245.0,"700,1000"
obese,female,vegan,daily,electricity,sometimes,236,rarely,32,7,13,38,17,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1943,Finance,Navi Mumbai,India,245.0,12,2,3,3,1999,24,Ghansoli,"Residential, Industrial",61.25,29.4,61.25,73.5,14.7,4.9,Summer,245.0,"700,1000"
obese,male,vegetarian,less frequently,natural gas,never,207,frequently,360,4,22,31,15,Yes,"['Plastic', 'Glass']",[],2396,Operations,Navi Mumbai,India,230.0,6,5,38,2,1451,104,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Winter,230.0,"700,500,350"
obese,male,pescatarian,more frequently,natural gas,never,198,very frequently,1335,3,14,39,16,No,['Metal'],"['Stove', 'Microwave']",4063,Other,Mumbai,India,225.0,35,1,7,16,1023,36,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Summer,225.0,"850,400"
underweight,male,omnivore,more frequently,natural gas,sometimes,86,very frequently,1824,1,23,42,13,Sometimes,"['Glass', 'Metal']","['Oven', 'Microwave']",2667,Operations,Navi Mumbai,India,245.0,19,3,32,12,1336,43,Ghansoli,"Residential, Industrial",61.25,29.4,61.25,73.5,14.7,4.9,Winter,245.0,"700,1000"
overweight,female,vegan,more frequently,coal,sometimes,276,rarely,8609,6,6,14,20,Yes,"['Paper', 'Plastic']",['Oven'],4000,Sales,Navi Mumbai,India,235.0,0,1,0,16,282,147,Vashi,"Corporate, Residential, Vehicular",70.5,35.25,23.5,82.25,18.8,4.7,Winter,235.0,"500,700,600"
underweight,female,vegan,daily,coal,never,195,never,95,2,19,9,3,No,['Paper'],"['Stove', 'Microwave']",819,Sales,Navi Mumbai,India,235.0,7,3,4,16,454,110,Vashi,"Corporate, Residential, Vehicular",70.5,35.25,23.5,82.25,18.8,4.7,Winter,235.0,"500,700,600"
underweight,female,omnivore,daily,coal,sometimes,148,very frequently,92,4,21,0,21,No,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2403,Engineering,Mumbai,India,240.0,15,3,31,18,1874,131,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Monsoon,240.00000000000003,650
overweight,female,vegetarian,more frequently,wood,often,146,frequently,2439,3,6,11,12,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],1896,Engineering,Navi Mumbai,India,245.0,13,3,39,4,1069,101,Ghansoli,"Residential, Industrial",61.25,29.4,61.25,73.5,14.7,4.9,Winter,245.0,"700,1000"
overweight,male,omnivore,daily,electricity,often,190,never,1718,5,16,34,7,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven']",2124,Engineering,Navi Mumbai,India,205.0,11,3,0,7,664,105,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Monsoon,205.0,"500,600"
underweight,female,omnivore,daily,coal,never,61,never,60,7,18,45,13,No,"['Paper', 'Glass', 'Metal']",['Oven'],1621,Finance,Navi Mumbai,India,265.0,22,3,34,1,1343,25,Turbhe,"Industrial, Vehicular",21.2,13.25,145.75,66.25,13.25,5.3,Monsoon,265.0,"1000,600"
underweight,male,omnivore,daily,natural gas,sometimes,255,frequently,1489,6,17,37,19,Sometimes,['Glass'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2700,Engineering,Navi Mumbai,India,230.0,14,4,21,8,1718,47,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Monsoon,230.0,"700,500,350"
underweight,female,vegan,less frequently,coal,sometimes,72,rarely,86,6,19,34,9,No,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1829,Other,Navi Mumbai,India,225.0,27,0,28,6,1807,125,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Post-Monsoon,225.0,"700,500"
normal,female,pescatarian,twice a day,natural gas,never,177,never,37,3,17,40,14,Yes,['Metal'],[],1433,Operations,Navi Mumbai,India,225.0,33,3,16,15,1094,140,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Winter,225.0,"700,500"
overweight,female,pescatarian,more frequently,natural gas,never,250,frequently,64,1,19,11,14,No,"['Paper', 'Metal']",['Oven'],1396,Engineering,Navi Mumbai,India,245.0,1,2,29,11,127,27,Ghansoli,"Residential, Industrial",61.25,29.4,61.25,73.5,14.7,4.9,Monsoon,245.0,"700,1000"
