Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,subdomain,city,country,total_co2,Transport_share,Waste Bag Size_share,Waste Bag Weekly Count_share,lpg_kg,flights_hours,meat_meals,dining_out,shopping_spend,waste_kg,area,area_type_raw,Residential,Corporate,Industrial,Vehicular,Construction,Airport
underweight,female,vegetarian,more frequently,coal,0.0,sometimes,77,frequently,4538,0.0,5,13,48,18,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2249,Operations,Mumbai,India,5.0,0.0,0.0,1.0,3,1,0,16,242,124,Chembur,"Industrial, Vehicular",0,0,1,1,0,0
obese,male,vegan,less frequently,natural gas,0.0,never,262,very frequently,1676,0.0,3,6,19,5,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2690,Finance,Navi Mumbai,India,3.0,0.0,0.0,1.0,38,3,12,6,813,95,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
normal,female,omnivore,twice a day,electricity,0.0,sometimes,146,very frequently,1604,0.0,3,2,32,14,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2279,Sales,Mumbai,India,3.0,0.0,0.0,1.0,39,2,24,16,1016,67,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
normal,male,vegan,daily,natural gas,0.0,never,100,very frequently,56,0.0,2,10,35,4,Sometimes,['Metal'],"['Grill', 'Airfryer']",2461,Sales,Mumbai,India,2.0,0.0,0.0,1.0,16,2,19,15,306,62,Mazgaon,"Vehicular, Residential",1,0,0,1,0,0
obese,female,omnivore,daily,coal,0.0,often,73,never,1606,0.0,2,8,14,10,Sometimes,['Glass'],"['Grill', 'Airfryer']",1553,Student,Mumbai,India,2.0,0.0,0.0,1.0,36,2,40,11,645,100,Malad West,"Residential, Construction",1,0,0,0,1,0
underweight,female,omnivore,less frequently,wood,0.0,often,116,never,40,0.0,7,22,50,8,No,"['Paper', 'Plastic']",[],1790,Engineering,Navi Mumbai,India,7.0,0.0,0.0,1.0,38,3,22,7,1926,87,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
overweight,female,vegan,twice a day,wood,0.0,never,241,rarely,49,0.0,7,6,22,9,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Microwave'],1064,Finance,Navi Mumbai,India,7.0,0.0,0.0,1.0,28,1,57,10,1384,75,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
obese,male,vegetarian,more frequently,electricity,0.0,often,168,rarely,1034,0.0,5,19,4,23,No,['Plastic'],['Stove'],1516,Other,Navi Mumbai,India,5.0,0.0,0.0,1.0,35,1,23,2,923,146,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
normal,female,omnivore,daily,electricity,0.0,sometimes,108,rarely,9181,0.0,7,22,13,7,Yes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1539,Sales,Navi Mumbai,India,7.0,0.0,0.0,1.0,37,1,42,11,1206,72,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
obese,male,vegetarian,daily,natural gas,0.0,never,106,very frequently,84,0.0,2,5,45,7,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3094,Sales,Navi Mumbai,India,2.0,0.0,0.0,1.0,38,0,40,3,362,53,Airoli,"Residential, Corporate",1,1,0,0,0,0
normal,male,pescatarian,daily,natural gas,0.0,never,179,frequently,27,0.0,5,21,10,8,Yes,"['Paper', 'Metal']",['Stove'],1670,Engineering,Mumbai,India,5.0,0.0,0.0,1.0,36,3,48,8,1944,65,Chembur,"Industrial, Vehicular",0,0,1,1,0,0
normal,female,vegan,less frequently,natural gas,0.0,sometimes,100,frequently,1269,0.0,4,0,50,22,Yes,"['Paper', 'Metal']",['Microwave'],2100,Engineering,Mumbai,India,4.0,0.0,0.0,1.0,34,2,38,16,1873,103,Mazgaon,"Vehicular, Residential",1,0,0,1,0,0
underweight,female,vegan,daily,coal,0.0,often,106,never,90,0.0,3,22,22,6,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1004,Other,Navi Mumbai,India,3.0,0.0,0.0,1.0,6,6,39,15,271,93,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
underweight,female,omnivore,twice a day,coal,0.0,never,219,rarely,23,0.0,1,20,9,24,Sometimes,[],[],1409,Finance,Mumbai,India,1.0,0.0,0.0,1.0,26,0,29,11,1821,69,Goregaon,"Residential, Construction",1,0,0,0,1,0
obese,male,vegetarian,more frequently,coal,0.0,never,205,very frequently,1787,0.0,3,1,47,13,No,"['Paper', 'Plastic']","['Oven', 'Microwave']",3995,Other,Navi Mumbai,India,3.0,0.0,0.0,1.0,27,1,33,14,461,30,Taloja,"Industrial, Construction",0,0,1,0,1,0
obese,female,vegetarian,daily,wood,0.0,sometimes,102,rarely,250,0.0,3,20,44,3,Sometimes,['Plastic'],[],1634,Sales,Mumbai,India,3.0,0.0,0.0,1.0,21,0,45,14,141,134,Goregaon,"Residential, Construction",1,0,0,0,1,0
overweight,female,pescatarian,daily,coal,0.0,sometimes,185,frequently,215,0.0,1,10,33,17,No,"['Paper', 'Plastic']",['Stove'],1989,Finance,Mumbai,India,1.0,0.0,0.0,1.0,13,2,9,0,1863,105,Chembur,"Industrial, Vehicular",0,0,1,1,0,0
obese,male,omnivore,less frequently,natural gas,0.0,never,189,rarely,1038,0.0,4,14,50,18,No,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2529,Other,Mumbai,India,4.0,0.0,0.0,1.0,6,1,40,2,373,94,Chembur,"Industrial, Vehicular",0,0,1,1,0,0
normal,female,omnivore,daily,natural gas,0.0,never,118,frequently,11,0.0,3,6,10,16,No,['Paper'],"['Stove', 'Oven']",1444,Engineering,Mumbai,India,3.0,0.0,0.0,1.0,36,1,59,1,1897,81,Chembur,"Industrial, Vehicular",0,0,1,1,0,0
normal,male,vegan,twice a day,natural gas,0.0,sometimes,294,never,1766,0.0,2,23,31,10,No,"['Plastic', 'Glass']","['Grill', 'Airfryer']",1394,Finance,Mumbai,India,2.0,0.0,0.0,1.0,21,3,0,16,599,42,Chembur,"Industrial, Vehicular",0,0,1,1,0,0
obese,male,vegan,twice a day,natural gas,0.0,never,69,never,1903,0.0,1,18,22,4,Yes,"['Plastic', 'Metal']",[],1079,Operations,Mumbai,India,1.0,0.0,0.0,1.0,4,2,11,11,231,123,Goregaon,"Residential, Construction",1,0,0,0,1,0
normal,female,vegan,twice a day,coal,0.0,never,229,very frequently,466,0.0,3,10,47,16,Sometimes,['Glass'],['Microwave'],2790,Engineering,Navi Mumbai,India,3.0,0.0,0.0,1.0,1,1,45,4,1576,81,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
overweight,male,vegan,less frequently,coal,0.0,sometimes,215,never,681,0.0,1,1,1,3,No,[],['Microwave'],1178,Operations,Mumbai,India,1.0,0.0,0.0,1.0,26,1,50,10,1009,93,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
obese,female,vegetarian,daily,electricity,0.0,never,184,never,9136,0.0,7,7,27,11,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",4913,Finance,Mumbai,India,7.0,0.0,0.0,1.0,20,3,28,18,524,36,Goregaon,"Residential, Construction",1,0,0,0,1,0
normal,female,omnivore,less frequently,wood,0.0,never,263,very frequently,99,0.0,7,9,16,12,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",2520,Student,Mumbai,India,7.0,0.0,0.0,1.0,37,1,10,14,1042,145,Sion,"Vehicular, Construction",0,0,0,1,1,0
overweight,female,vegan,less frequently,wood,0.0,often,130,frequently,522,0.0,2,10,49,8,Yes,"['Paper', 'Plastic']","['Stove', 'Oven']",2019,Engineering,Mumbai,India,2.0,0.0,0.0,1.0,14,1,40,6,708,60,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
overweight,female,pescatarian,more frequently,natural gas,0.0,often,130,rarely,357,0.0,4,20,32,2,Sometimes,"['Plastic', 'Glass']","['Grill', 'Airfryer']",1596,Other,Navi Mumbai,India,4.0,0.0,0.0,1.0,20,1,16,7,1176,128,Kharghar,"Residential, Construction",1,0,0,0,1,0
underweight,male,vegan,less frequently,wood,0.0,often,151,never,79,0.0,3,17,42,15,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1226,Finance,Navi Mumbai,India,3.0,0.0,0.0,1.0,9,2,19,9,888,27,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
underweight,male,vegetarian,twice a day,coal,0.0,never,242,never,145,0.0,5,13,42,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1376,Student,Mumbai,India,5.0,0.0,0.0,1.0,22,2,57,5,1520,68,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
obese,female,vegan,twice a day,coal,0.0,sometimes,70,frequently,7640,0.0,1,23,32,13,No,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",3528,Student,Navi Mumbai,India,1.0,0.0,0.0,1.0,38,1,37,14,293,131,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
normal,female,omnivore,twice a day,coal,0.0,sometimes,197,very frequently,1910,0.0,7,9,4,8,No,['Paper'],['Microwave'],2721,Engineering,Navi Mumbai,India,7.0,0.0,0.0,1.0,4,2,5,9,1522,125,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
normal,male,omnivore,daily,coal,0.0,never,219,frequently,31,0.0,1,21,47,24,Yes,"['Paper', 'Plastic']",[],2471,Operations,Mumbai,India,1.0,0.0,0.0,1.0,0,1,19,16,1106,74,Malad West,"Residential, Construction",1,0,0,0,1,0
overweight,male,vegetarian,more frequently,electricity,0.0,sometimes,287,frequently,1556,0.0,2,9,38,17,Sometimes,['Glass'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2494,Finance,Navi Mumbai,India,2.0,0.0,0.0,1.0,12,1,9,5,563,51,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
underweight,female,pescatarian,less frequently,wood,0.0,often,187,very frequently,24,0.0,3,18,1,14,Yes,"['Plastic', 'Glass']",['Microwave'],2053,Engineering,Mumbai,India,3.0,0.0,0.0,1.0,20,5,9,18,1478,106,Sion,"Vehicular, Construction",0,0,0,1,1,0
underweight,female,vegan,less frequently,natural gas,0.0,often,275,frequently,835,0.0,6,17,39,15,No,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2117,Other,Mumbai,India,6.0,0.0,0.0,1.0,25,2,30,19,1296,115,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
overweight,female,vegan,less frequently,coal,0.0,sometimes,123,very frequently,14,0.0,6,22,2,22,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",2816,Operations,Navi Mumbai,India,6.0,0.0,0.0,1.0,20,3,25,19,1463,76,Airoli,"Residential, Corporate",1,1,0,0,0,0
underweight,male,vegan,daily,natural gas,0.0,sometimes,72,frequently,55,0.0,7,6,42,12,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2248,Operations,Mumbai,India,7.0,0.0,0.0,1.0,17,0,57,5,292,119,Worli,"Vehicular, Construction",0,0,0,1,1,0
overweight,male,vegetarian,more frequently,coal,0.0,sometimes,242,frequently,58,0.0,5,10,38,2,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3071,Sales,Navi Mumbai,India,5.0,0.0,0.0,1.0,36,2,16,13,1553,24,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
underweight,female,vegetarian,more frequently,coal,0.0,never,205,frequently,18,0.0,5,9,16,0,Sometimes,"['Glass', 'Metal']","['Stove', 'Microwave']",1498,Sales,Mumbai,India,5.0,0.0,0.0,1.0,31,2,52,12,486,138,Chembur,"Industrial, Vehicular",0,0,1,1,0,0
underweight,female,omnivore,less frequently,wood,0.0,sometimes,167,rarely,1708,0.0,4,17,34,0,Sometimes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",1899,Student,Navi Mumbai,India,4.0,0.0,0.0,1.0,35,2,13,12,756,131,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
overweight,female,vegan,twice a day,coal,0.0,never,284,rarely,4994,0.0,1,19,36,21,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven']",3534,Finance,Navi Mumbai,India,1.0,0.0,0.0,1.0,16,3,4,8,1780,114,Airoli,"Residential, Corporate",1,1,0,0,0,0
overweight,male,vegetarian,more frequently,coal,0.0,sometimes,216,rarely,35,0.0,6,8,5,6,Yes,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']",1542,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,34,2,2,8,1100,82,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
normal,female,vegan,twice a day,natural gas,0.0,sometimes,222,rarely,2653,0.0,1,5,33,13,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",1025,Sales,Navi Mumbai,India,1.0,0.0,0.0,1.0,10,0,42,7,1591,134,Taloja,"Industrial, Construction",0,0,1,0,1,0
normal,female,pescatarian,twice a day,natural gas,0.0,sometimes,58,frequently,1876,0.0,7,13,24,3,No,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1723,Sales,Navi Mumbai,India,7.0,0.0,0.0,1.0,20,1,50,9,1911,118,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
underweight,female,pescatarian,daily,coal,0.0,often,185,frequently,1645,0.0,5,19,40,23,Sometimes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2360,Sales,Mumbai,India,5.0,0.0,0.0,1.0,25,2,19,19,1895,45,Sion,"Vehicular, Construction",0,0,0,1,1,0
normal,male,vegetarian,daily,electricity,0.0,never,184,very frequently,91,0.0,3,13,26,6,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",2080,Student,Navi Mumbai,India,3.0,0.0,0.0,1.0,3,1,50,3,1454,53,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
obese,male,omnivore,daily,coal,0.0,often,246,rarely,1966,0.0,6,1,45,20,No,"['Paper', 'Plastic']",[],3106,Other,Mumbai,India,6.0,0.0,0.0,1.0,33,2,45,2,1650,100,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
overweight,male,pescatarian,more frequently,coal,0.0,never,70,frequently,3535,0.0,4,12,50,17,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave']",4211,Engineering,Navi Mumbai,India,4.0,0.0,0.0,1.0,17,2,14,12,1948,25,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
normal,male,vegetarian,less frequently,natural gas,0.0,often,139,frequently,93,0.0,6,19,20,7,No,"['Paper', 'Metal']",['Stove'],2216,Engineering,Navi Mumbai,India,6.0,0.0,0.0,1.0,39,3,2,7,1552,81,Vashi,"Corporate, Residential, Vehicular",1,1,0,1,0,0
normal,male,pescatarian,twice a day,electricity,0.0,never,52,frequently,60,0.0,1,23,15,20,Sometimes,['Glass'],['Microwave'],1392,Other,Navi Mumbai,India,1.0,0.0,0.0,1.0,34,4,2,8,894,114,Kharghar,"Residential, Construction",1,0,0,0,1,0
normal,female,omnivore,daily,natural gas,0.0,never,281,rarely,4603,0.0,6,11,47,19,No,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",3181,Other,Mumbai,India,6.0,0.0,0.0,1.0,28,1,22,13,1119,94,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
underweight,female,omnivore,more frequently,wood,0.0,sometimes,286,very frequently,1499,0.0,6,21,49,24,Sometimes,"['Paper', 'Glass']","['Grill', 'Airfryer']",3298,Finance,Mumbai,India,6.0,0.0,0.0,1.0,28,2,8,0,1339,73,Chembur,"Industrial, Vehicular",0,0,1,1,0,0
normal,male,vegetarian,twice a day,coal,0.0,sometimes,87,very frequently,58,0.0,5,23,46,0,Sometimes,"['Paper', 'Glass', 'Metal']",['Oven'],2775,Operations,Navi Mumbai,India,5.0,0.0,0.0,1.0,37,2,10,13,1399,110,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
obese,male,pescatarian,more frequently,natural gas,0.0,never,198,very frequently,1335,0.0,3,14,39,16,No,['Metal'],"['Stove', 'Microwave']",4063,Other,Navi Mumbai,India,3.0,0.0,0.0,1.0,20,2,46,11,207,103,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
underweight,male,omnivore,daily,wood,0.0,never,217,never,98,0.0,6,1,38,10,No,['Glass'],"['Grill', 'Airfryer']",1698,Other,Mumbai,India,6.0,0.0,0.0,1.0,12,5,48,3,355,132,Mazgaon,"Vehicular, Residential",1,0,0,1,0,0
overweight,male,vegan,more frequently,electricity,0.0,often,169,rarely,52,0.0,6,6,43,12,Yes,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2268,Student,Mumbai,India,6.0,0.0,0.0,1.0,16,3,55,3,1202,103,Mazgaon,"Vehicular, Residential",1,0,0,1,0,0
underweight,female,pescatarian,daily,coal,0.0,often,187,never,1466,0.0,1,24,43,6,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1396,Engineering,Mumbai,India,1.0,0.0,0.0,1.0,8,4,57,12,489,149,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
obese,male,pescatarian,daily,coal,0.0,never,127,rarely,491,0.0,2,24,11,24,No,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1966,Sales,Mumbai,India,2.0,0.0,0.0,1.0,0,2,43,15,1653,120,Mazgaon,"Vehicular, Residential",1,0,0,1,0,0
underweight,female,vegetarian,more frequently,wood,0.0,never,70,very frequently,1324,0.0,4,7,44,11,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",2161,Sales,Mumbai,India,4.0,0.0,0.0,1.0,1,1,48,10,1465,46,Malad West,"Residential, Construction",1,0,0,0,1,0
overweight,female,vegetarian,twice a day,electricity,0.0,sometimes,108,frequently,1486,0.0,6,8,50,24,Sometimes,"['Paper', 'Glass', 'Metal']",['Microwave'],1819,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,28,0,40,2,1428,37,Taloja,"Industrial, Construction",0,0,1,0,1,0
overweight,female,vegetarian,more frequently,electricity,0.0,sometimes,235,very frequently,3820,0.0,3,0,38,18,Yes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2698,Student,Navi Mumbai,India,3.0,0.0,0.0,1.0,32,2,12,1,824,143,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
overweight,female,pescatarian,more frequently,coal,0.0,often,268,never,39,0.0,1,9,2,16,Sometimes,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",1005,Operations,Navi Mumbai,India,1.0,0.0,0.0,1.0,9,2,7,2,1332,30,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
underweight,female,omnivore,twice a day,electricity,0.0,often,214,very frequently,42,0.0,7,20,39,3,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",2640,Finance,Mumbai,India,7.0,0.0,0.0,1.0,39,2,21,19,1134,23,Mazgaon,"Vehicular, Residential",1,0,0,1,0,0
normal,female,vegetarian,twice a day,wood,0.0,sometimes,91,never,52,0.0,7,19,12,8,Yes,"['Plastic', 'Glass']",['Stove'],901,Student,Mumbai,India,7.0,0.0,0.0,1.0,20,1,37,16,1269,122,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
overweight,female,vegan,less frequently,natural gas,0.0,often,120,never,3,0.0,6,1,39,6,Sometimes,"['Plastic', 'Metal']",['Oven'],1444,Sales,Navi Mumbai,India,6.0,0.0,0.0,1.0,27,2,26,0,1158,102,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
overweight,male,vegetarian,more frequently,coal,0.0,often,52,rarely,9742,0.0,7,6,18,19,Yes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave']",5041,Finance,Mumbai,India,7.0,0.0,0.0,1.0,10,6,25,10,1690,62,Goregaon,"Residential, Construction",1,0,0,0,1,0
obese,female,omnivore,twice a day,wood,0.0,sometimes,134,rarely,1523,0.0,6,0,16,6,Sometimes,"['Paper', 'Plastic', 'Glass']",[],1644,Student,Navi Mumbai,India,6.0,0.0,0.0,1.0,33,2,22,15,1474,58,Taloja,"Industrial, Construction",0,0,1,0,1,0
overweight,female,vegan,less frequently,coal,0.0,sometimes,138,frequently,1510,0.0,5,18,4,8,Sometimes,"['Plastic', 'Metal']",['Microwave'],1606,Sales,Navi Mumbai,India,5.0,0.0,0.0,1.0,7,2,55,19,639,78,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
obese,female,pescatarian,less frequently,electricity,0.0,never,190,very frequently,29,0.0,7,23,1,17,Yes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2761,Engineering,Mumbai,India,7.0,0.0,0.0,1.0,21,1,38,9,955,98,Goregaon,"Residential, Construction",1,0,0,0,1,0
normal,male,vegetarian,twice a day,wood,0.0,never,175,very frequently,6142,0.0,4,13,17,11,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",4173,Engineering,Navi Mumbai,India,4.0,0.0,0.0,1.0,7,2,30,19,1799,103,Taloja,"Industrial, Construction",0,0,1,0,1,0
underweight,female,vegetarian,more frequently,wood,0.0,never,198,frequently,7995,0.0,4,24,37,20,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",3596,Other,Mumbai,India,4.0,0.0,0.0,1.0,14,1,28,5,208,100,Mazgaon,"Vehicular, Residential",1,0,0,1,0,0
normal,female,pescatarian,twice a day,electricity,0.0,never,183,frequently,21,0.0,4,10,26,6,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1696,Other,Navi Mumbai,India,4.0,0.0,0.0,1.0,16,3,0,1,123,74,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
underweight,female,pescatarian,daily,wood,0.0,often,55,very frequently,862,0.0,3,1,21,20,No,"['Glass', 'Metal']",['Microwave'],1971,Student,Navi Mumbai,India,3.0,0.0,0.0,1.0,22,3,9,6,1796,84,Kharghar,"Residential, Construction",1,0,0,0,1,0
normal,male,pescatarian,twice a day,coal,0.0,often,142,never,152,0.0,7,7,20,22,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave']",1591,Student,Mumbai,India,7.0,0.0,0.0,1.0,23,5,46,16,598,112,Mazgaon,"Vehicular, Residential",1,0,0,1,0,0
obese,male,vegetarian,daily,electricity,0.0,often,60,frequently,1454,0.0,1,22,28,16,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2134,Sales,Navi Mumbai,India,1.0,0.0,0.0,1.0,18,6,45,7,1089,127,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
overweight,female,omnivore,twice a day,coal,0.0,often,64,very frequently,52,0.0,6,9,15,16,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2753,Operations,Navi Mumbai,India,6.0,0.0,0.0,1.0,4,0,3,12,471,102,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
underweight,female,vegetarian,daily,coal,0.0,never,260,rarely,719,0.0,1,24,45,12,Yes,['Glass'],"['Stove', 'Oven', 'Microwave']",1582,Finance,Mumbai,India,1.0,0.0,0.0,1.0,31,4,30,3,1288,113,Mazgaon,"Vehicular, Residential",1,0,0,1,0,0
underweight,female,pescatarian,less frequently,natural gas,0.0,sometimes,132,never,235,0.0,6,14,13,7,Yes,"['Paper', 'Plastic', 'Glass']",[],1192,Engineering,Mumbai,India,6.0,0.0,0.0,1.0,0,2,3,10,496,56,Sion,"Vehicular, Construction",0,0,0,1,1,0
underweight,male,vegetarian,less frequently,natural gas,0.0,often,171,very frequently,1435,0.0,4,23,6,5,Yes,"['Paper', 'Glass']","['Grill', 'Airfryer']",2262,Finance,Mumbai,India,4.0,0.0,0.0,1.0,22,1,28,1,371,141,Borivali,"Residential, Vehicular",1,0,0,1,0,0
obese,male,vegan,less frequently,electricity,0.0,never,262,rarely,7894,0.0,3,11,44,12,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1637,Student,Navi Mumbai,India,3.0,0.0,0.0,1.0,36,1,8,7,1747,94,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
overweight,male,omnivore,more frequently,natural gas,0.0,sometimes,232,frequently,2264,0.0,6,5,35,23,No,['Paper'],['Stove'],3303,Finance,Mumbai,India,6.0,0.0,0.0,1.0,7,3,14,17,1550,101,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
normal,male,vegan,less frequently,electricity,0.0,never,249,frequently,73,0.0,6,11,35,10,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1771,Student,Navi Mumbai,India,6.0,0.0,0.0,1.0,12,1,43,7,1196,73,Kharghar,"Residential, Construction",1,0,0,0,1,0
underweight,male,vegetarian,twice a day,electricity,0.0,never,129,rarely,8238,0.0,2,10,28,22,Yes,['Metal'],"['Stove', 'Oven']",3407,Finance,Navi Mumbai,India,2.0,0.0,0.0,1.0,7,2,40,10,149,92,Taloja,"Industrial, Construction",0,0,1,0,1,0
normal,female,vegan,twice a day,wood,0.0,sometimes,260,rarely,9700,0.0,6,18,34,16,Yes,['Plastic'],"['Stove', 'Oven']",1722,Sales,Mumbai,India,6.0,0.0,0.0,1.0,22,0,2,4,1746,110,Goregaon,"Residential, Construction",1,0,0,0,1,0
overweight,male,omnivore,twice a day,wood,0.0,sometimes,222,frequently,2212,0.0,7,15,26,11,Sometimes,[],[],3319,Student,Mumbai,India,7.0,0.0,0.0,1.0,0,1,58,6,1648,129,Goregaon,"Residential, Construction",1,0,0,0,1,0
underweight,male,omnivore,less frequently,natural gas,0.0,never,268,very frequently,8886,0.0,3,8,13,9,No,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",2797,Sales,Navi Mumbai,India,3.0,0.0,0.0,1.0,23,2,14,3,170,71,Vashi,"Corporate, Residential, Vehicular",1,1,0,1,0,0
normal,female,pescatarian,less frequently,wood,0.0,sometimes,156,rarely,6754,0.0,5,10,17,3,No,"['Paper', 'Plastic', 'Glass']",[],1356,Operations,Mumbai,India,5.0,0.0,0.0,1.0,34,0,56,9,591,57,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
overweight,female,pescatarian,daily,natural gas,0.0,never,152,very frequently,8082,0.0,1,10,3,9,Yes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",3824,Operations,Navi Mumbai,India,1.0,0.0,0.0,1.0,23,0,52,5,573,63,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
normal,male,vegetarian,daily,coal,0.0,never,56,rarely,7137,0.0,2,22,17,2,Yes,"['Paper', 'Glass']",['Oven'],2777,Engineering,Navi Mumbai,India,2.0,0.0,0.0,1.0,16,3,10,12,1324,106,Vashi,"Corporate, Residential, Vehicular",1,1,0,1,0,0
